r,C_aq,O_aq
0.25,0.1676264158,0.1106979205
0.297979798,0.1676239031,0.1106977176
0.345959596,0.1676220883,0.1106979063
0.3939393939,0.1676207135,0.110698142
0.4419191919,0.1676196362,0.1106984319
0.4898989899,0.1676187693,0.1106987722
0.5378787879,0.1676180566,0.1106991598
0.5858585859,0.1676174603,0.1106995931
0.6338383838,0.1676169542,0.1107000705
0.6818181818,0.1676165191,0.1107005911
0.7297979798,0.1676161412,0.1107011543
0.7777777778,0.1676158098,0.1107017595
0.8257575758,0.1676155168,0.1107024063
0.8737373737,0.167615256,0.1107030943
0.9217171717,0.1676150224,0.1107038233
0.9696969697,0.1676148118,0.1107045931
1.017676768,0.1676146211,0.1107054036
1.065656566,0.1676144476,0.1107062545
1.113636364,0.167614289,0.1107071459
1.161616162,0.1676141436,0.1107080775
1.20959596,0.1676140097,0.1107090494
1.257575758,0.167613886,0.1107100613
1.305555556,0.1676137715,0.1107111134
1.353535354,0.1676136651,0.1107122055
1.401515152,0.167613566,0.1107133376
1.449494949,0.1676134736,0.1107145097
1.497474747,0.1676133871,0.1107157217
1.545454545,0.167613306,0.1107169736
1.593434343,0.1676132298,0.1107182654
1.641414141,0.1676131582,0.110719597
1.689393939,0.1676130907,0.1107209684
1.737373737,0.167613027,0.1107223797
1.785353535,0.1676129668,0.1107238307
1.833333333,0.1676129097,0.1107253216
1.881313131,0.1676128557,0.1107268522
1.929292929,0.1676128044,0.1107284226
1.977272727,0.1676127557,0.1107300327
2.025252525,0.1676127094,0.1107316826
2.073232323,0.1676126653,0.1107333722
2.121212121,0.1676126233,0.1107351016
2.169191919,0.1676125832,0.1107368706
2.217171717,0.167612545,0.1107386794
2.265151515,0.1676125085,0.1107405279
2.313131313,0.1676124736,0.1107424161
2.361111111,0.1676124402,0.110744344
2.409090909,0.1676124082,0.1107463116
2.457070707,0.1676123776,0.1107483189
2.505050505,0.1676123483,0.1107503658
2.553030303,0.1676123202,0.1107524525
2.601010101,0.1676122932,0.1107545788
2.648989899,0.1676122673,0.1107567448
2.696969697,0.1676122425,0.1107589505
2.744949495,0.1676122187,0.1107611959
2.792929293,0.1676121958,0.1107634809
2.840909091,0.1676121738,0.1107658056
2.888888889,0.1676121527,0.11076817
2.936868687,0.1676121324,0.1107705741
2.984848485,0.1676121129,0.1107730178
3.032828283,0.1676120942,0.1107755011
3.080808081,0.1676120762,0.1107780242
3.128787879,0.1676120589,0.1107805869
3.176767677,0.1676120423,0.1107831892
3.224747475,0.1676120263,0.1107858312
3.272727273,0.167612011,0.1107885129
3.320707071,0.1676119963,0.1107912342
3.368686869,0.1676119821,0.1107939952
3.416666667,0.1676119686,0.1107967958
3.464646465,0.1676119556,0.1107996361
3.512626263,0.1676119431,0.1108025161
3.560606061,0.1676119311,0.1108054357
3.608585859,0.1676119197,0.1108083949
3.656565657,0.1676119087,0.1108113938
3.704545455,0.1676118982,0.1108144324
3.752525253,0.1676118882,0.1108175106
3.800505051,0.1676118787,0.1108206284
3.848484848,0.1676118695,0.110823786
3.896464646,0.1676118609,0.1108269831
3.944444444,0.1676118526,0.1108302199
3.992424242,0.1676118448,0.1108334964
4.04040404,0.1676118374,0.1108368125
4.088383838,0.1676118304,0.1108401683
4.136363636,0.1676118237,0.1108435637
4.184343434,0.1676118175,0.1108469988
4.232323232,0.1676118116,0.1108504735
4.28030303,0.1676118062,0.1108539879
4.328282828,0.1676118011,0.1108575419
4.376262626,0.1676117963,0.1108611356
4.424242424,0.167611792,0.1108647689
4.472222222,0.1676117879,0.1108684419
4.52020202,0.1676117843,0.1108721546
4.568181818,0.167611781,0.1108759069
4.616161616,0.167611778,0.1108796989
4.664141414,0.1676117754,0.1108835304
4.712121212,0.1676117731,0.1108874016
4.76010101,0.1676117712,0.1108913125
4.808080808,0.1676117696,0.1108952636
4.856060606,0.1676117683,0.1108992518
4.904040404,0.1676117675,0.1109032884
4.952020202,0.1676117713,0.1109087952
5,0.1676117624,0.1109542454
