t_days,t_months,CO2_flux,CO2_cumulative
0,0,196.642786,0
0.5,0.01642575558,196.642786,98.32139298
1,0.03285151117,159.2897165,177.9662512
1.5,0.04927726675,131.3345583,243.6335304
2,0.06570302234,107.7920571,297.5295589
2.5,0.08212877792,88.12748573,341.5933018
3,0.09855453351,71.82107586,377.5038397
3.5,0.1149802891,58.38364794,406.6956637
4,0.1314060447,47.37510961,430.3832185
4.5,0.1478318003,38.4842123,449.6253246
5,0.1642575558,31.12082032,465.1857348
5.5,0.1806833114,20.15269861,475.2620841
6,0.197109067,5.18355836,477.8538633
6.5,0.2135348226,2.146313595,478.9270201
7,0.2299605782,1.608086361,479.7310633
8,0.2628120894,1.302770141,481.0338334
9,0.2956636005,1.118368281,482.1522017
10,0.3285151117,1.025144975,483.1773467
11,0.3613666229,0.9694426634,484.1467893
12,0.394218134,0.933606749,485.0803961
13,0.4270696452,0.9099002664,485.9902963
14,0.4599211564,0.8942839709,486.8845803
15,0.4927726675,0.8843781977,487.7689585
16,0.5256241787,0.8786521564,488.6476107
17,0.5584756899,0.8760549229,489.5236656
18,0.5913272011,0.8763447714,490.4000104
19,0.6241787122,0.880777794,491.2807881
20,0.6570302234,0.8862180496,492.1670062
21,0.6898817346,0.8919832592,493.0589895
22,0.7227332457,0.8979788457,493.9569683
23,0.7555847569,0.9041190091,494.8610873
24,0.7884362681,0.9098824091,495.7709697
25,0.8212877792,0.9138435376,496.6848133
26,0.8541392904,0.9170123267,497.6018256
27,0.8869908016,0.9201555241,498.5219811
28,0.9198423127,0.9233934754,499.4453746
29,0.9526938239,0.9267379582,500.3721125
30,0.9855453351,0.9301769082,501.3022895
60.88,2,0.985057454,531.7208636
91.32,3,1.063521327,564.0944528
121.76,4,1.102132746,597.6433736
152.2,5,1.111562049,631.4793224
182.64,6,1.099869776,664.9593584
273.96,9,1.034531986,759.4328193
365.28,12,0.8993944018,841.5655161
456.6,15,0.7614072764,911.0972285
547.92,18,0.6433215955,969.8453566
639.24,21,0.5498300597,1020.055838
730.56,24,0.4785944636,1063.761084
821.88,27,0.4258247645,1102.647402
913.2,30,0.4011782108,1139.282996
1004.52,33,0.3899618087,1174.894308
1095.84,36,0.37942126,1209.543058
1187.16,39,0.369244819,1243.262495
1278.48,42,0.3594060564,1276.083456
1369.8,45,0.3498874711,1308.035179
1461.12,48,0.3406739086,1339.145521
1552.44,51,0.3317519473,1369.441109
1643.76,54,0.323109261,1398.947446
1735.08,57,0.3147345848,1427.689009
1826.4,60,0.30661735,1455.689305
